id,latitude,longitude,Label
GKA,-6.0816898345900015,145.391998291,Goroka Airport
MAG,-5.20707988739,145.789001465,Madang Airport
HGU,-5.826789855957031,144.29600524902344,Mount Hagen Kagamuga Airport
LAE,-6.569803,146.725977,Nadzab Airport
POM,-9.443380355834961,147.22000122070312,Port Moresby Jacksons International Airport
WWK,-3.5838301181800003,143.66900634799998,Wewak International Airport
UAK,61.1604995728,-45.4259986877,Narsarsuaq Airport
GOH,64.19090271,-51.678100585900005,Godthaab / Nuuk Airport
SFJ,67.0122218992,-50.7116031647,Kangerlussuaq Airport
THU,76.5311965942,-68.70320129390001,Thule Air Base
AEY,65.66000366210939,-18.07270050048828,Akureyri Airport
EGS,65.28330230712889,-14.401399612426758,Egilsstaðir Airport
HFN,64.295601,-15.2272,Hornafjörður Airport
HZK,65.952301,-17.426001,Húsavík Airport
IFJ,66.05809783935547,-23.13529968261719,Ísafjörður Airport
KEF,63.985000610352,-22.605600357055998,Keflavik International Airport
PFJ,65.555801,-23.965,Patreksfjörður Airport
RKV,64.1299972534,-21.9405994415,Reykjavik Airport
SIJ,66.133301,-18.9167,Siglufjörður Airport
VEY,63.42430114746094,-20.27890014648437,Vestmannaeyjar Airport
YAM,46.48500061035156,-84.5093994140625,Sault Ste Marie Airport
YAY,51.391899108900006,-56.083099365200006,St. Anthony Airport
YAZ,49.079833,-125.77558300000001,Tofino / Long Beach Airport
YBB,68.534401,-89.808098,Kugaaruk Airport
YBC,49.13249969482422,-68.20439910888672,Baie Comeau Airport
YBG,48.33060073852539,-70.99639892578125,CFB Bagotville
YBK,64.29889678960001,-96.077796936,Baker Lake Airport
YBL,49.95080184936523,-125.27100372314452,Campbell River Airport
YBR,49.91,-99.951897,Brandon Municipal Airport
YCB,69.1081008911,-105.13800048799999,Cambridge Bay Airport
YCD,49.054970224899996,-123.869862556,Nanaimo Airport
YCG,49.296398162799996,-117.63200378399999,Castlegar/West Kootenay Regional Airport
YCH,47.007801,-65.449203,Miramichi Airport
YCL,47.990798999999996,-66.330299,Charlo Airport
YCO,67.816704,-115.143997,Kugluktuk Airport
YCT,52.0750007629,-111.444999695,Coronation Airport
YCW,49.1528015137,-121.93900299100001,Chilliwack Airport
YCY,70.4860992432,-68.5167007446,Clyde River Airport
YZS,64.1932983398,-83.3593978882,Coral Harbour Airport
YDA,64.04309844970703,-139.12800598144528,Dawson City Airport
YDB,61.37110137939453,-139.04100036621094,Burwash Airport
YDF,49.21080017089844,-57.39139938354492,Deer Lake Airport
YDL,58.4221992493,-130.031997681,Dease Lake Airport
YDN,51.10079956054688,-100.052001953125,Dauphin Barker Airport
YDQ,55.7422981262207,-120.18299865722656,Dawson Creek Airport
YEG,53.309700012200004,-113.580001831,Edmonton International Airport
YEK,61.0942001343,-94.0708007812,Arviat Airport
YEN,49.210300445600005,-102.96600341799999,Estevan Airport
YET,53.5788993835,-116.46499633799999,Edson Airport
YEU,79.9946975708,-85.814201355,Eureka Airport
YEV,68.30419921880001,-133.483001709,Inuvik Mike Zubko Airport
YFB,63.756402,-68.555801,Iqaluit Airport
YFC,45.86890029907226,-66.53720092773439,Fredericton Airport
YFE,48.74610137939453,-69.09719848632811,Forestville Airport
YFO,54.6781005859375,-101.68199920654295,Flin Flon Airport
YFR,61.1808013916,-113.690002441,Fort Resolution Airport
YFS,61.76020050048828,-121.23699951171876,Fort Simpson Airport
YGK,44.22529983520508,-76.5969009399414,Kingston Norman Rogers Airport
YGL,53.62530136108398,-77.7042007446289,La Grande Rivière Airport
YGP,48.775299072299994,-64.4785995483,Gaspé (Michel-Pouliot) Airport
YGQ,49.77830123901367,-86.93939971923828,Geraldton Greenstone Regional Airport
YGR,47.42470169067383,-61.778099060058594,Îles-de-la-Madeleine Airport
YHB,52.8166999817,-102.31099700899999,Hudson Bay Airport
YHD,49.831699,-92.744202,Dryden Regional Airport
YHI,70.76280212402344,-117.80599975585938,Ulukhaktok Holman Airport
YHK,68.635597229,-95.8497009277,Gjoa Haven Airport
YHM,43.173599243199995,-79.93499755859999,John C. Munro Hamilton International Airport
YHU,45.5175018311,-73.4169006348,Montréal / Saint-Hubert Airport
YHY,60.8396987915,-115.782997131,Hay River / Merlyn Carter Airport
YHZ,44.880798339799995,-63.508598327600005,Halifax / Stanfield International Airport
YIB,48.7738990784,-91.6386032104,Atikokan Municipal Airport
YIO,72.6832962036,-77.9666976929,Pond Inlet Airport
YJN,45.29439926147461,-73.28109741210938,St Jean Airport
YJT,48.5442008972168,-58.54999923706055,Stephenville Airport
YKA,50.702201843299996,-120.444000244,Kamloops Airport
YKF,43.4608001709,-80.3786010742,Waterloo Airport
YKL,54.80530166625977,-66.8052978515625,Schefferville Airport
YKY,51.5175018311,-109.180999756,Kindersley Airport
YKZ,43.86220169067383,-79.37000274658203,Buttonville Municipal Airport
YLD,47.81999969482422,-83.3467025756836,Chapleau Airport
YLJ,54.12530136108398,-108.52300262451172,Meadow Lake Airport
YLL,53.30920028686523,-110.072998046875,Lloydminster Airport
YLT,82.51779937740001,-62.280601501499994,Alert Airport
YLW,49.9561004639,-119.377998352,Kelowna International Airport
YMA,63.61640167236328,-135.86799621582028,Mayo Airport
YMJ,50.330299377441406,-105.55899810791016,Moose Jaw Air Vice Marshal C. M. McEwen Airport
YMM,56.653301238999994,-111.22200012200001,Fort McMurray Airport
YMO,51.291099548339844,-80.60780334472656,Moosonee Airport
YMW,46.272800445600005,-75.9906005859,Maniwaki Airport
YMX,45.679501,-74.038696,Montreal International (Mirabel) Airport
YNA,50.18999862670898,-61.78919982910156,Natashquan Airport
YND,45.5217018127,-75.5635986328,Ottawa / Gatineau Airport
YNM,49.76169967651367,-77.80280303955078,Matagami Airport
YOC,67.57060241699219,-139.83900451660156,Old Crow Airport
YOD,54.40499877929688,-110.27899932861328,CFB Cold Lake
YOJ,58.62139892578125,-117.16500091552734,High Level Airport
YOW,45.3224983215332,-75.66919708251953,Ottawa Macdonald-Cartier International Airport
YPA,53.214199066199996,-105.672996521,Prince Albert Glass Field
YPE,56.226898,-117.446999,Peace River Airport
YPG,49.903099,-98.27381700000001,Southport Airport
YPL,51.4463996887207,-90.21420288085938,Pickle Lake Airport
YPN,49.83639907836914,-64.28859710693361,Port Menier Airport
YPQ,44.22999954223633,-78.36329650878906,Peterborough Airport
YPR,54.2860984802,-130.445007324,Prince Rupert Airport
YPY,58.7672004699707,-111.11699676513672,Fort Chipewyan Airport
YQA,44.974700927734375,-79.30329895019531,Muskoka Airport
YQB,46.7911,-71.393303,Quebec Jean Lesage International Airport
YQF,52.18220138549805,-113.8939971923828,Red Deer Regional Airport
YQG,42.27560043334961,-82.95559692382812,Windsor Airport
YQH,60.11640167236328,-128.82200622558594,Watson Lake Airport
YQK,49.78829956054688,-94.36309814453124,Kenora Airport
YQL,49.6302986145,-112.80000305200001,Lethbridge County Airport
YQM,46.11220169067383,-64.67859649658203,Greater Moncton International Airport
YQQ,49.71080017089844,-124.88700103759766,Comox Airport
YQR,50.43190002441406,-104.66600036621094,Regina International Airport
YQT,48.37189865112305,-89.32389831542969,Thunder Bay Airport
YQU,55.1796989441,-118.885002136,Grande Prairie Airport
YQV,51.26470184326172,-102.46199798583984,Yorkton Municipal Airport
YQW,52.76919937133789,-108.24400329589844,North Battleford Airport
YQX,48.9369010925293,-54.56809997558594,Gander International Airport
YQY,46.1614,-60.047798,Sydney / J.A. Douglas McCurdy Airport
YQZ,53.026100158691406,-122.51000213623048,Quesnel Airport
YRB,74.71690368649999,-94.9693984985,Resolute Bay Airport
YRI,47.76440048217773,-69.58470153808594,Rivière-du-Loup Airport
YRJ,48.52000045776367,-72.2656021118164,Roberval Airport
YRM,52.4296989441,-114.903999329,Rocky Mountain House Airport
YRT,62.811401367200006,-92.1157989502,Rankin Inlet Airport
YSB,46.625,-80.79889678955078,Sudbury Airport
YSC,45.4385986328125,-71.69139862060547,Sherbrooke Airport
YSJ,45.31610107421875,-65.89029693603516,Saint John Airport
YSM,60.020301818847656,-111.96199798583984,Fort Smith Airport
YSR,72.982201,-84.613602,Nanisivik Airport
YSU,46.44060134887695,-63.83359909057617,Summerside Airport
YSY,71.9938964844,-125.24299621600001,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport
YTE,64.2300033569,-76.5267028809,Cape Dorset Airport
YTH,55.80110168457031,-97.86419677734376,Thompson Airport
YTR,44.118900299072266,-77.5280990600586,CFB Trenton
YTS,48.569698333699996,-81.376701355,Timmins/Victor M. Power
YTZ,43.627499,-79.396202,Billy Bishop Toronto City Centre Airport
YUB,69.43329620361328,-133.0260009765625,Tuktoyaktuk Airport
YUL,45.4706001282,-73.7407989502,Montreal / Pierre Elliott Trudeau International Airport
YUT,66.5214004517,-86.22470092770003,Repulse Bay Airport
YUX,68.77610015869999,-81.2425,Hall Beach Airport
YUY,48.20610046386719,-78.83560180664062,Rouyn Noranda Airport
YVC,55.1514015198,-105.262001038,La Ronge Airport
YVG,53.355800628699996,-110.823997498,Vermilion Airport
YVM,67.5457992554,-64.03140258789999,Qikiqtarjuaq Airport
YVO,48.0532989502,-77.7827987671,Val-d'Or Airport
YVP,58.09609985351562,-68.42690277099611,Kuujjuaq Airport
YVQ,65.28160095214844,-126.7979965209961,Norman Wells Airport
YVR,49.193901061999995,-123.183998108,Vancouver International Airport
YVT,55.8418998718,-108.41799926799999,Buffalo Narrows Airport
YVV,44.7458,-81.107201,Wiarton Airport
YWA,45.95220184326172,-77.31919860839844,Petawawa Airport
YWG,49.909999847399995,-97.2398986816,Winnipeg / James Armstrong Richardson International Airport
YWK,52.92190170288086,-66.86440277099611,Wabush Airport
YWL,52.1831016541,-122.054000854,Williams Lake Airport
YWY,63.20940017700195,-123.43699645996094,Wrigley Airport
YXC,49.610801696777,-115.78199768066001,Cranbrook/Canadian Rockies International Airport
