Reporting Economy,Albania,Argentina,Association of Southeast Asian Nations (ASEAN),Australia,Austria,"Bahrain, Kingdom of",Belarus,Belgium,Bermuda,Brazil,Brunei Darussalam,Bulgaria,Canada,Chile,China,Chinese Taipei,Colombia,Costa Rica,Croatia,Cyprus,Czech Republic,Denmark,Dominican Republic,Egypt,El Salvador,Estonia,Euro Area (19),European Union,European Union (28),Extra EU Trade,Extra Euro Area (19) Trade,Finland,France,Germany,Greece,Guatemala,Honduras,"Hong Kong, China",Hungary,Iceland,India,Indonesia,Iran,Ireland,Israel,Italy,Japan,Jordan,"Korea, Republic of",Latvia,Liechtenstein,Lithuania,Luxembourg,Malaysia,Malta,Mexico,Montenegro,Morocco,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Romania,Russian Federation,"Saudi Arabia, Kingdom of",Serbia,Singapore,Slovak Republic,Slovenia,South Africa,Spain,Sweden,Switzerland,Thailand,Turkey,Ukraine,United Kingdom,United States of America,Uruguay,"Venezuela, Bolivarian Republic of",Viet Nam
Austria,,,,,,,,1309.265578,,162.49683100000001,,717.5182980000001,301.36397,,843.6210189999999,,,,1575.572549,296.399469,1959.9046640000001,492.59654000000006,,,,125.34576499999999,45553.76115,,57590.73877999999,,29585.9412,1025.627184,1676.989618,29837.94766,697.8438980000001,,,153.48656200000002,1929.403821,,233.617023,,,1893.4838100000002,,3287.5870449999998,319.995742,,,107.57981399999998,,548.382644,680.7714980000001,,259.855882,,,,3231.336782,,,,,,,,,,1964.202721,322.960813,1852.866312,1176.751027,,,,1676.74974,1481.639678,,1233.090307,1179.1205929999999,5815.961964,,,,3075.578118,2420.030823,,,
Belgium,,,,,1239.479844,,,,,298.49025,,671.134011,490.172049,,1184.6324849999999,,,,193.906653,236.13160499999998,1184.259008,1135.7596210000002,,,,113.591241,71036.91165,,90687.72455,,54293.36889,855.8872449999999,17431.1207,11654.725120000001,680.089045,,,625.057975,546.277791,,662.927667,,,5530.314678,,4616.301147,1314.095397,,,98.73700699999999,,339.68775800000003,7428.1170489999995,,297.31633700000003,,,,17697.06802,,,,,,,,,,2026.528963,967.7287769999999,1139.3515320000001,1258.064069,,,,401.656371,161.73038200000002,,3961.87986,1989.4592890000001,8819.651931999999,,,,11890.882959999999,7733.555631,,,
Bulgaria,,,,,,,,,,8.198475,,,53.535167,,48.031423,,,,36.483798,,162.922891,94.081477,,,,,4588.180561,,6907.974109000001,,5985.363937,,,,,,,55.967898999999996,136.557027,,16.5409,,,,,,23.059479,,,,,20.594625,,,,,,,,,,,,,,,,,251.91768599999997,,423.81146900000005,579.617748,,,,,,,,97.021834,251.57714500000003,,,,1114.670406,540.150405,,,
Croatia,,,,,1350.007448,,,369.032259,,14.977602,,41.125988,112.016149,,47.771260999999996,,,,,9.624483999999999,361.61404500000003,157.717494,,,,11.712883999999999,9154.738285,,12155.31753,,7643.221422,95.395282,433.77584800000005,3192.036617,17.960596,,,32.093253000000004,460.49354400000004,,34.246186,,,179.242124,,1324.351299,42.853429999999996,,,9.048950999999999,,7.315010000000001,21.446587,,32.46046,,,,489.939636,,,,,,,,,,441.619416,29.617620000000002,49.558302000000005,183.848791,,,,344.79404900000003,1074.510672,,154.79084,383.24093500000004,648.7287110000001,,,,1109.466473,491.620474,,,
Cyprus,,,,,73.04781700000001,,,49.562871,,2.9935680000000002,,49.439671000000004,58.331293,,61.337303000000006,,,,,,39.504182,141.576868,,,,,3347.647269,,6850.629814,,10080.4954,16.846846,122.83751000000001,1201.649188,749.378859,,,31.498831,44.932407,,12.303109,,,118.366743,,115.659384,28.019664000000002,,,13.555704,,14.584577,134.46746100000001,,227.301573,,,,238.22091899999998,,,,,,,,,,80.638161,291.096294,193.717457,2452.124818,,,,31.732083000000003,37.009681,,78.90514,113.468644,294.91879,,,,2740.712042,824.7593049999999,,,
Czech Republic,,,,,1228.339062,,,1098.9238070000001,,59.815493000000004,,575.104715,133.294064,,1352.500584,,,,300.81965,167.062267,,327.398875,,,,32.58585,15284.7641,,19821.85773,,14842.56661,241.59457200000003,1085.5956410000001,6525.312172,218.49260800000002,,,89.067586,505.024107,,110.47906,,,1226.47116,,743.11591,310.38247,,,29.735284000000004,,60.0442,178.99737,,62.396676,,,,1167.431128,,,,,,,,,,1056.528609,91.923778,287.254887,1216.3557150000001,,,,1849.1887809999998,93.650215,,577.172055,377.118574,1399.771611,,,,1754.249218,2258.108195,,,
Denmark,,,,,,,,,,773.377159,,203.289775,703.096266,,2402.862534,,,,171.706475,,380.16371499999997,,,,,,23338.14633,,39144.9653,,55841.2977,,,,,,,1544.200053,552.477402,,1335.4083050000002,,,,,,1322.364034,,,,,628.2839290000001,,,,,,,,,,,,,,,,,1406.109279,,234.84117400000002,691.605381,,,,,,,,6735.134998,2571.704767,,,,7971.582148,9160.732392,,,
Estonia,,,,,70.29842,,,103.02471899999999,,16.271998,,47.166226,57.57816,,83.344342,,,,13.881695,138.066292,56.22928100000001,116.57781200000001,,,,,4052.5408060000004,,5607.310153,,3862.048755,1907.2588420000002,152.97573300000002,481.373041,47.008953000000005,,,47.974235,41.335375,,15.326407000000001,,,125.017458,,91.227262,65.68574,,,494.027446,,318.525055,35.406062,,62.58845,,,,211.465936,,,,,,,,,,229.417409,24.061331,34.52191,434.63226799999995,,,,23.160423,12.159251,,141.959049,669.8866690000001,238.67032200000003,,,,403.228685,333.13069,,,
Euro Area (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295777.8271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,,,,,,,,,,16829.21355,,,22259.921469999997,,54561.49883,,,,,,,,,,,,,4440068.2,,3574794.4,,,,,,,,13573.96744,,,17791.40538,,,,,,31226.210880000002,,,,,,,,,,,,,,,,,,,,,,,,,29215.757230000003,,,,,,,,,123483.1993,,,,245811.5706,235088.2135,,,
Finland,,,,,1112.112294,,,742.287462,,234.979821,,79.23059599999999,433.816253,,2070.815972,,,,127.85473700000001,106.54161299999998,315.928313,1747.37755,,,,1172.831342,14197.491759999999,,24493.854040000002,,23920.91123,,1525.1173919999999,3190.872265,351.684556,,,159.658045,261.629073,,942.0338419999999,,,1990.3942550000002,,914.911433,1183.578119,,,181.791524,,197.63470700000002,183.248501,,46.041835999999996,,,,1923.503106,,,,,,,,,,1100.887082,233.793518,125.45414,1439.665989,,,,68.981382,39.053014000000005,,1146.197155,4328.702626,1262.802268,,,,2264.10684,3957.060079,,,
France,,,,,1355.561746,,,20663.52605,,2682.999115,,443.27274500000004,3090.525571,,9902.420415999999,,,,479.876525,184.85524099999998,1785.775468,1938.18093,,,,638.616628,123778.8372,,168125.8031,,168569.2486,1676.7999960000002,,34218.05498,1875.281461,,,1804.6587359999999,1215.408802,,2672.205117,,,14452.221580000001,,13340.00574,5145.855226,,,317.387765,,510.943938,10415.38019,,472.96939699999996,,,,16910.04221,,,,,,,,,,3984.7622109999998,3334.578349,2467.72315,2536.4908800000003,,,,531.13707,242.954133,,16191.23382,3293.064133,20818.86949,,,,31608.597960000003,33680.57817,,,
Germany,,,,,20572.006680000002,,,,,2955.916325,,,4372.360493,,,,,,,857.015342,7118.951112000001,,,,,,139737.3726,,214003.8319,,227871.7398,,24602.867830000003,,,,,2795.186082,3507.9720549999997,,5522.839631,,,16725.53834,,15448.075980000001,6239.01552,,,,,,12505.49251,,487.130118,,,,20529.16716,,,,,,,,,,11796.97706,,2960.6167570000002,,,,,2023.217297,,,14112.69805,,26750.15671,,,,31293.1955,51151.08256,,,
Greece,,,,,,,,,,1104.882983,,559.962271,1035.6169300000001,,1606.051041,,,,62.953252,,278.443023,386.214171,,,,,13904.75787,,21305.88017,,31213.12717,,,,,,,136.337796,141.416766,,807.188707,,,,,,213.553525,,,,,,,,,,,,,,,,,,,,,,567.716454,,710.998999,912.673809,,,,,,,,433.69967599999995,1173.544461,,,,4214.810511,2882.179839,,,
Hungary,,,,,2327.842529,,,529.84478,,106.454802,,315.84205,126.99238600000001,,555.907175,,,,344.894606,173.924588,624.147968,736.0078139999999,,,,9.907371000000001,14186.8898,,21325.48991,,15512.58052,249.89144900000002,763.806393,5364.968436,171.923912,,,160.795176,,,46.6984,,,1128.1158560000001,,915.324841,295.678796,,,107.028729,,74.875188,327.868559,,45.676357,,,,1260.99027,,,,,,,,,,893.950047,109.79110800000001,1525.4179980000001,295.738127,,,,828.125798,152.76020400000002,,557.5654509999999,475.14155,975.6865230000001,,,,2412.175461,2732.744347,,,
Iceland,,,,,,,,,,,,,235.322682,,,,,,,,,202.487639,,,,,,,2493.346564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.718819,91.853207,,,,665.875371,1641.047489,,,
Ireland,,,,,1468.442601,,,5315.806804,,1099.75388,,86.133302,1361.319489,,5981.030718999999,,,,89.026957,49.183914,381.189183,660.8040599999999,,,,27.154595,62113.296429999995,,105305.8763,,260669.1588,725.743365,9732.030596999999,17754.25605,220.619202,,,2616.544248,148.805856,,3360.3431100000003,,,,,8179.618156,6791.294462999999,,,133.644437,,59.419224,2827.309527,,106.212097,,,,42477.70675,,,,,,,,,,972.7579470000001,1127.029856,249.29005800000002,1138.321596,,,,136.65428500000002,32.592622,,4579.503178,4593.252155,6051.157486,,,,36466.751939999995,61131.87982,,,
Italy,,,,,3373.387833,,,2877.6604780000002,,1661.5938800000001,,612.137336,2522.174518,,2354.381112,,,,506.17488099999997,264.089505,1135.5089380000002,986.490808,,,,77.41139,61786.280629999994,,80215.90005,,69503.15598,786.83002,10963.38739,14718.707709999999,2386.1465120000003,,,933.6700310000001,814.443904,,722.169976,,,9363.113491,,,1601.296552,,,135.169816,,520.316702,8530.187468,,333.747798,,,,4822.304914,,,,,,,,,,2049.745661,917.523909,2012.505023,1866.1762170000002,,,,570.813959,1197.388692,,5610.358984,1520.277155,9507.837088,,,,10056.29929,11382.73373,,,
